asin,rating,title,text,verified_purchase
B0073HSJR4,5.0,for a birthday and i already know he will love it because i sure do,got it for my boyfriend for a birthday and i already know he will love it because i sure do,True
B071CMGRLL,5.0,,this is exactly what we needed for our new arlo cameras and the best price,True
B005HSG31K,1.0,,this cover does not fit my kindle so i guess im stuck with it not very happy with this item,True
B0BFVZ8M2D,1.0,,these do not stick they fall off almost immediately pretty much useless,True
B08P4WR6XB,5.0,,the tv overall is really good good picture and better sound quality than i expected the user interface is quick and responsive i did get a little frustrated with some of the initial set up but nothing too bad the remote seems a bit on the cheap side but it works well,True
B09K7K5J3N,5.0,,these are the best and most reasonably priced earbuds i have ever had i use them when i run and they consistently perform well,True
B084ZJFNKN,4.0,,great picture quality but the mic doesnt work as well,True
B01MTB55WH,5.0,,this is a great little speaker has really good sound for its size very good battery life as well there are more expensive speakers available that have better sound quality but this one is really good for the price,True
B07S5JVP78,4.0,great buds for use in an office or other similar locations,these are great inexpensive ear buds my only complaint would be lack of bass in the music other than that these are a good lowcost selection for some wireless buds i use mine every day at work,True
B016XTADG2,5.0,,easy to use great battery life pretty good sound for such a small speaker what else could you want definitely worth the money,True
B01MSPQ4TL,5.0,,this replaced an old ipad that i had and it is so much better really fast and has a crispclear display,True
B000WOIFO2,5.0,,this is the second one of these i have purchased over the years i workout a lot and my ipod goes with me every time this case stands up well to a lot of use,True
B00365EB3I,5.0,,the ear buds take a little getting used to but the music quality is out of this world awesome,True
B07XZ1YDKP,4.0,,i like nice n thickness and compact iam going to buy me another one,True
B09CD8GVY5,1.0,,one of the chargers gets scary hot i cant even use it the chargers are inconsistent and do not always work when they work its a very slow charge,True
B08FFJWQY1,1.0,,set up is very easy the video is pretty good i paid for a year of cam plus and i am still only getting 12 second videos the 12 second videos tend to be the person walking away not helpful i did a chat with wyze support their suggestion did not help i called and talked with support their suggestions did not help he told me he would send a request to tier 2 and they will contact me by email they never did its been a full week customer service is a huge deal i dont want this camera if i cant get more than 12 seconds of video,True
B01D0PVYH4,5.0,,takes beautiful pictures and easy to use came with tons of fantastic products,True
B017SJKHIK,5.0,,got these a few years ago loved them then and now great sound battery is great all around 5 star product,True
B09TQXKWST,5.0,,hopefully theses last longer that the last two sets from different companies so far so good,True
B07YNLBS7R,5.0,,stopped working in less than o month amazon was not helpful in getting replacement wanted me to send it back for repair even though it was listed for return for another month bad bad customer service,True
B08F9NJMW7,5.0,,when i use the kindle app its perfect for holding my ipad,True
B01L2VGEQE,5.0,,product was as it was described didnt come with earbuds like a brand new ipad though,True
B010OYASRG,5.0,,easy to use good sound quality nice and small perfect for the deck,True
B00TIRFCXQ,5.0,good quality well detailed note i glued it to a disc wallet,i made no attempt to iron it on or sew it to fabric looks great though,True
B077TZM7D5,4.0,works great for 1080p pc gaming 4k remains a mystery to me,do discernable lag in spite of 30 lengthgood audio and video quality however 2160p and htz over 60 are both capabilities impossible for me to testwidthstood being nailed to baseboards over 2 ethernet cables with 34 plastic staples,True
B09DCR15L7,5.0,,as long as you follow the directions exactly its easy to apply,True
B09V28Y3HH,5.0,,ciyupe tablet pillow stand tablet holder dock for bed with 6 viewing angles compatible with ipad pro 97 105129 air mini 4 3 kindle galaxy tab ereader and books grey it is great at holding tablets and phones at whatever angle of its 6 possible positions is most appropriate comfortable to use takes pressure off handswrists when using,True
B093D8MB4X,5.0,,the multiple lengths come in handy for different uses the 3 foot wire is perfect for in the car while the 6 10 foot wires are perfect for the desk couch or bed,True
B094X6WWVN,4.0,,1of the 3 died immediately after purchase it lasted maybe a week the others are fine i havent had a problem with them but i bought 3 because i needed 3 not 2,True
B07TW5FVVP,5.0,,i would definitely recommend this for a cruise or a bedside table we are continuing to use it at our charging station,True
B00S7IBV82,5.0,,after i received the butterfly bag i was not sure if my great nieces kindle with the big rubber protector would fit but it fits perfectly in this bag,True
B00IYM0Y2A,4.0,,it will work just fine but not for the camera i got it for its too big,True
B00RK1JTR2,5.0,gave it as a gift to my great niece to put her new kindle fire for kids,gave it as a gift to my great niece to put her new kindle fire for kids in it she already had kindle in a rubber cover but it fits all of it and her charger she loves it,True
B08RJ9J74X,5.0,,can change for any holiday or time of year holding up and fit nice sime issues with them coming undone but not with all of them,True
B0772SXNSC,5.0,,works as expected holding up good no issues good buy,True
B085XZGVN5,5.0,,i bought this for adding wired ethernet to the google chromecast with google tv and it works perfectly no more lagging connection,True
B09GV31691,4.0,,using this over rabbit ears on my lg oled and it does pick up some channels but almost all of them have weak reception even with the amplifier on high it doesnt do a great job could be the location im gonna try to put it in the attic and see if it helpsdoes work for picking up nxtgen boradcasts so thats pretty cool only get 2 if the 12 channels available though,True
B09F98W8LF,4.0,protects from basic drops but it will not save it if the remote is thrown,if your kids throw things this will not save the remotewe have dropped it a few times and its fine but when it was thrown at the stairs it still crackedbasic protection but not enough to save from angry children,True
B093YD69JB,5.0,,this is much higher quality than expected doesnt sag like other long extension mounts ive usedits a bit difficult to extend and retract but i think thats a good thing so its not flopping all overhighly recommended,True
B093DP3X4H,5.0,,best price drive and its fastmoved 450gb of games from internal storage to this m2 in 6 minutes 47 secondsps5 rated read speed at 6257mbs when it started a bit slower than rated but still should be sufficient for ps5 usage ive had 0 issues so farthe price is unbeatablelets hope the longevity doesnt match the price but so far so good,True
B0992TJFM3,2.0,,works well enough microphone and pairing work well but does not have nfc this would be ok if the price wasnt so high and it wasnt advertised as having iti contacted their support and was told to reach out in amazon through seller contactonce i did this i told them that i received a mr21ga vs mr21gc the only difference being the nfc functionalitythey said they function the same and to request a refund if i am not satisfiedi will be doing this the nfc functionality is a big portion of the remote and it states a different model will be leaving seller feedback as wellbe careful folks,True
B07VKFSLKN,5.0,used this to add a better subwoofer to my soundbar and it works perfectly,i have an lg sk9y and i ran the speaker level inputs from the stock subwoofer out of that and into one channel of this device then ran a short shielded rca to the lfe input on the klipsch 12 450 watt home audio subwoofer and it works wonderfullythe sound bar was miles beyond the amount of bass that was provided by the stock 100 watt sub i did lower the sub output to 6 so that i dont feed too much power to the converter and it works greatits not the most elegant setup but its outta site in the corner behind my couch and it sounds superb so i dont care,True
B00MJ1YR8Y,5.0,,this replaced a 12 jbl venue sub from about 15 years ago i have always liked klipsch but this is the first home audio product i have owned of theirs and i am super happyi use this in conjunction with my lg sk9y sound bar i removed the speaker cables and fed them into a low level line converter and that runs to the lfe input on the subwooferit works wonderfully and really fills in as much as or better than the venue did before miles beyond the stock 8 inch on for the sound bari would recommend this sub for any home audio system its not small though so make sure you have room,True
B08SQTMDN5,4.0,,i installed this in the back of a built in had 24 to clear and it did fine but it sages down about 15 inches and i wasnt expecting that much i left that much clearance luckily so it barely rubs but it can block the ir since i have a sound bar wall mounted alsotv only weighs about 25 lbs so i have no idea how bad it would be if you used the max capacity of 60lbif it didnt sag so bad it would be 5 stars though easy install and works well feels solid,True
B007JYZ3BG,5.0,,put these in for my 2021 sienna sliding door speakers because the aftermarket 35 speakers had too much bass and were rattling the panel this is the perfect frequency blocker still allowed the mids without the bass rattle,True
B08L1N8TG9,1.0,,picture shows ok on static image however when using for xbox picture cuts out during flashing action segments even on 720p picture will go completely black until action subsides then it will show static picture againvery poor quality,True
B07G95FFN3,5.0,,i have upwards of 30 kasa switches bulbs and other accessories in my house they all work amazing i love the app and all the options they keep adding the smart features and customizability just works flawlessthey almost never lose connection and quickly respond to google assistant commandsthis is really nice because i can make routines through google home to turn everything off but still have specific items on or off at my desk i have my work and personal pc fans lighting headset etc all on different switches i actually have 2 additional single switches in the same area and they all work great togethersuper easy to wall mount and stays put very wellmy only gripe is that the main power leds on the switch are a bit bright and they dont turn off at all there is the main switch and 2 others i hope they allow to turn them of or adjust the brightness in the future but its not a huge deal as it is under my desk i just push my chair in front of it at night and its not a bother,True
B07VWRZKR9,5.0,,great bright white color and solid connections the combs are very difficult to install but its worth it for those truly clean aesthetics,True
B088DJQ2PQ,4.0,,beautiful card runs well and seems solid my only complaint is when it winds up to full speed its a bit loud and when its at full load it gets hot with the stock fan curve stays below 60 when fans are blasting though,True
B005LJQMCK,1.0,,product was not working on arrival but company was quick to refund,True
B07QQPH27F,5.0,,great little fan was surprised how much air it put out small enough to slip into a pocket or my purse happy with my purchase,True
B00PYG7LH0,5.0,,very happy with this alarm easy to install and easy instructions thinking of purchasing 2 more,True
B003EM8008,5.0,,for the price of these i couldnt believe the quality sound that they produced,False
B071WRSYML,5.0,,bought a new tv for the family room and it didnt have the input that came with our wii this product was a perfect solution and very inexpensivethe product plugs into the wii and then you plug in an hdmi cable from the adapter to the tv couldnt be easier and worked like a charm,True
B00BKX75YA,5.0,,this was a pretty good case for the money buy its quite a bit louder than i expected,True
B003YVJJ5Y,4.0,,a good case for the price i was nervous that it would not be roomy enough to fit my sapphire r9 280x gpu but it did however it is not big enough to fit 2 of them in crossfire so when that day comes this case will no longer suit my needs otherwise it is everything i need in a case,True
B0032GU1LW,5.0,,i needed an inexpensive external drive for my new laptop as it is not something i use often i didnt want to spend a lot of money on it for what i need this was the perfect product i plugged it in and it worked right out of the box no hassle very easy i am sure if i was using this more i may find a more expensive solution would be a better fit but for what i need this was perfect,True
B07LC6VRD6,5.0,,its exactly what is says it is you connect it to your phone via bluetooth and itll play your phone sound over the radio it automatically connects when in range the sound quality is good and its more or less initally easy to figure out how to use,True
B01KUEGE1E,4.0,,havent gotten them installed yet im a 68 year old woman and i sat tv in the floor to watch my daughter helped me but no legs yetso u cant go by me my brother showed them to me but he lives in wv im in sc,True
B08H3KSFVR,5.0,,as expected glyph products function as expected out of the box with the necessary connections included,True
B087RKKXM5,5.0,,this is a neat appearing outlet extender that functions as promised i wish i had learned about it sooner,True
B07P54RSPY,5.0,,very simple design good quality and support for a laptop,True
B00EQ94566,5.0,,this is a small sleek mouse that does a fine job it is wired a feature needed to access certain bluetooth actions,True
B07SNGY9VN,5.0,,the product looks good and should protect the keyboard however removing it from the packaging was difficult,True
B00KQQK87S,5.0,,this is a higherpriced external hard drive but based on previous experience it is also a higherquality item for external drives that save important data quality is most important,True
B01MZEEFNX,5.0,,it works as promised i bought mine as a combined item with echo as a stand alone plug it seems expensive,True
B005L38VRU,5.0,,looks good works well and the solar power is a welcome feature,True
B007ZC99Q2,5.0,wave music system for years and have been well satisfied with the quality of sound for its size,have used bose wave music system for years and have been well satisfied with the quality of sound for its size,True
B003A21DQA,5.0,,riding out hurricanes is not something i would recommend some folks though stay and this little gizmo not only has a hand crank but solar pac as well covers all the bases was a gift and was much appreciated everybody should have one for back up,True
B078BX25RR,5.0,,well made bag which will only get better the older it gets love it my grandson was thrilled with this bag when i gave it to him people who saw it believed it cost way more than it did great purchase,True
B004M5MVNS,5.0,,i have had to use my extended warranty with square trade for my grandsons ipad three times now so worth the money even after the 3d time ive had to make a claim and they are just as friendly and easy to work with as the first claim never give a kid an electronic device without purchasing the warranty plan from square trade it is not a matter of whether you will use it or not but how often you will use it,True
B008I636D6,5.0,,purchased an ipad for 10year old grandson along with the most sturdy case i could find wisely purchased the 3 year protection plan and had to take advantage of it twice so far once i filed my claim a label was emailed to me so i could mail the ipad to them for repair quick turn around grandson happy i would wholeheartedly recommend this company to anyone great service,True
B072LX4LTV,1.0,,not worth the money didnt last at all sorry i purchased,True
B0068LWHPQ,5.0,,love this keyboard easy to type on and not to much bigger than the wireless keyboard i was using best of all though i can easily see it keys have a great feel to them wished i would have found this product years ago,True
B07YHSQ71M,1.0,,the case is difficult to open and partially obstructs the camera and corners of the screen,True
B09KTMJVJW,1.0,,i would give this negative 0 stars if i could does not work at all shame on you for stealing 10 from unsuspecting people,True
B08PNW6WGX,4.0,6 month review i give it a 7 out of 10,i like the sound quality it was better than my previous sony vaio its not the best material the keys make a sound when i type im used to silent keys so its a little annoying i like the touch screen and the updated bluetooth function and overall technology with the laptop the battery life is solid not the best but not the worst i like that its lightweight the camera is good also not the best quality im used to dell laptops i cant say its as good,True
B0791TX5P5,5.0,,i had a first generation fire stick and upgraded to this one it has performed much better im very satisfied,True
B00IYA2SMQ,2.0,,nice headphones cord is junk very disappointed for what you pay for these its ridiculous that the quality is so poor,True
B003EM8008,5.0,i love these they hold up to a lot of,i love these they hold up to a lot of wear including me washing them by accident in the washing machine they have 2 sets of the the poertion that goes in the earso you can get a good fit they are comfortable and a great price,True
B00B20M8CU,4.0,i like the separate speakers it makes it easier to hear,a little hard to program and get used to i didnt realize you could set it to which alarms you wanted to hear and i was missing thunderstorm warnings but i finally figured that out i like the separate speakers it makes it easier to hear around the house no issues with reception,True
B07X4854MR,5.0,,does the job and the length i wanted for my car,True
B0713RTF8V,1.0,,the usb ports didnt work at all and that is what i bought it for,True
B00007AP2O,1.0,,started to oy work every once in awhile i would have to unplug the cord and try to arrange it just right for it to work,True
B00KMFN8E8,5.0,,just wonderful exactly what i wanted to use at the ballgames,True
B08L5NP6NG,1.0,,videoid55e63d40d07e5f34fa19aaeb1b6df5cf i used it few times then after that wouldnt work at all very frustrating,True
B092M34HQ3,5.0,,i read all directions and charged up my earbuds i turned on my blue tooth and the earbuds wouldnt pair i just sent back,True
B09R1F4HCQ,5.0,,this is a reasonably priced wireless mouse fits well in my hand and is super easy to maneuver i have been using this mouse for over a month now and i have to admit its one of the nicest mice i have ever used i do a lot of spreadsheet details for work and this mouse is quick and accurate highly recommend if you are in the market for a new mouse,False
B0997HW4JP,4.0,,i purchased myself a new kindle during black friday sales on amazon almost immediately i noticed fingerprints all over the screen i found this cleaner and wanted to try it i will say it did clean the face of the kindle well got rid of the fingerprints i love the cleaning cloth that it comes with i also tried this on my laptop and it also worked well i wish this came in a smaller size so i could carry it in my purse they should have included a small bottle that you could refill for portability outside of that for the money you cant do better,False
B09FSSM1HH,5.0,,this fits my new kindle which i received as a christmas gift perfectly i love the color and the way my kindle fits so nice and snug inside this is a great addition as it protects my device nicely and i can easily slip my device in my hobo bag for carrying around without fear of damage or scratching highly recommend,False
B092D3LR5M,5.0,everyone should own this radio in the event of an emergency,this is a super nice transistor radio i love the large led display is visible from very far away and with my eyesight is a great feature antenna really pics up neighboring stations easily and clearly i was in the market for a quality battery operated radio to have around my house in the event of a power outage i am in rural florida and this happens quite often highly recommend this radio for anyone in the market for one,False
B08SW8DMM5,5.0,,i live in a rural area of florida where most power lines are unfortunately above ground we quite often lose electric and in a storm sometimes it can be terrifying this is great transistor radio that i always keep near my bedside so i can turn it on in a moments notice for weather and news updates battery powered to me means that i will always have contact with the outside world for updates regardless of whether i have power or not sound quality is clear and it picks up all major stations for me highly recommend,False
B08K3FS8VJ,5.0,this is a great emergency radio to have in your home,i live in florida and i have been looking for a good transistor radio to use when the power may go out this radio is great it is not only an amfm radio but also a shortwave radio too sound quality is great reception picks up easily in my home it is definitely piece of mind for anyone who may be in an area prone to power outages highly recommend,False
B08LYQ7MBZ,5.0,,i wanted a rechargeable mouse that i could use when i am traveling for work this is a small lightweight rechargeable mouse that allows me to not have to carry batteries with me i really do like the size and the way it feels in my hand when i use it its not silent as it claims but i really dont care about that for the money this is a great little mouse,False
