asin,rating,title,text,verified_purchase,label
B00006HMR3,5,,im using this device with a motorola surfboard cable modem to connect to the internet im communicating with it using a linksys wpc11 wireless pc card from one laptop and a direct ethernet connection from another its worked flawlessly from the moment i unboxed and set it upsetup and configuration is simple and straightforward connect to it via any browser using the default address given in the instruction manual select your connection type fixed or ispassigned ip address and cable or dsl and youre ready to go using these settings i was on the internet within minutes of getting cable modem service however the device has many more options and parameters that you can set to provide additional protection to block workgroup users from certain sites and to make services such as a web server using a private address accessible from the internet more importantly you can configure it for remote administrationthere are a few minor annoyances although part of the configuration is to set your time zone it will not give the correct time unless connected to an outside dsl or cable model service i suspect it uses network time protocol for to keep time another annoyance is the fact that it logs every event even if you turn off security these are not genuine problems and certainly dont detract from its functionality or reliabilityfrom a performance standpoint mine has been so reliable that i take it for granted i also have had no problems with it dropping wireless connections that were reported by others it came immediately up as soon as my wirelessenabled laptop was turned on after three and the laptop immediately connected and was communicatingif you are considering this device for a small workgroup you should consider the smc wireless 4port cabledsl router with print server asin b00005ark4 which works identically to this model but includes a builtin print server,False,2002-10-12 19:37:50.000,durability
B00006B9EW,5,,the fixed 16 mb which cannot be upgraded or swapped out makes this camera suitable for entrylevel buyers or those on a budget but who want a digital camera with a suite of features and softwareits the features that make this camera such a value it can function as a webcamvideo conferencing camera a digital camcorder although youre limited to 3 minutes and 20 seconds of relatively lowresolution 320 x 240 video with voice annotation and a digital still camera that can take 450 shots at 640 x 480 or 2000 shots at 320 x 240 resolution it can also serve as a voice recorder that can hold up to 30 minutes of voice only recordingin addition to the features that are built in the camera also comes with an uptodate version of microsoft netmeeting ulead photoexpress 30 photo editing software ulead cool 360 panoramic creation software and ulead photo explorer to manage your photosif you are a casual user or primarily want a webcam that can sometimes function as a still camera or camcorder you may not outgrow this device however if what you really want is a digital camera but want to start with a modestlypriced starter camera youll probably love it it installs easily and performs to specifications two of the most important features of any camera in any price range,False,2002-10-14 05:45:09.000,storage
B00006B9ES,5,,i am pleased with this print server for a number of reasons administration is webbased and setup is simple and straightforward if youre experienced the documentation is a bit too terse for the nontechnical home user who needs detailed guidance you get two usb ports and one parallel port making this both flexible and an added value if you plan to locate all of your printers in the same space the added value stems from the fact that most singleport print servers are in the same price range and almost all of them only support printers with parallel ports it works in network environments based on microsoft windows netware macintosh unix or any combination making it standardscompliant and open i especially like the stepbystep instructions on the manufacturers web site for integrating this device into linuxbased lans it can also be queried and managed via snmp in an enterprise networki am less pleased with the supporting web site although it is rich in useful content and has uptodate driver downloads well written faqs and a wealth of technical information for linux and unix users the pages do not display properly in netscape 4x considering the excellent unix and linux support for the product and in the faqs this was a surprise since most of those users will be using netscape 4x as their browser this is more of an inconvenience than a problem howeveroverall this is one of those rare products that does exactly what the manufacturer claims it will do and it works flawlessly,False,2002-10-21 04:33:21.000,ease of use
B0000608R3,5,,this device isnt for everyone but it fits my needs perfectly it represents my third attempt to find an affordable easytouse solution to getting scribbled meeting and design notes and drawings into my computer for quick dissemination to interested parties and stakeholders ive previously tried the at crosspad no longer made and the logitech io personal digital pen asin b00006jp23 each of which fell short for various reasonshere is how i use it during meetings i take notes do sketches user interfaces highlevel system design diagrams etc and list followup items this material is automatically beamed to my palm vx as pictures of the sketches andor notes i upload these to my pc and email them as attachments this gets information out quickly which can be followed up later with more refined notes transcribed into a word processor by hand or better drawings i use visioit does one thing only captures pictures of what you write on plain paper and it does that exceptionally welli liked the easy setup the fact that it comes with a qwerty tap keyboard its under the pad and performs as advertised if your needs are similar to mine stated above and you have either a palm or pocket pc pda you will probably love this notepad however it does not perform optical character recognition so it that is what youre seeking you need to keep looking,False,2002-12-08 06:52:21.000,ease of use
B00005JLS3,5,,it has to be said although im a twentysomething i still love to watch nickelodeon cartoons my absolute favourite being the wild thornberrys ive seen every episode many more than once and i was a little skeptical at the thought of a fulllength animated moviehappily the movie far surpassed my wildest expectations the animation looks great including the use of several cgi elements not present in the series at some moments it reminded me of the lion king there is enough background information included including the opening credits of the series that newcomers wont feel left behind the whole thornberry gang is here including the addition of nigels parents and several new characters as well the voice work is fantastic including such wellknown names as tim curry as nigel red hot chili peppers flea as donnie rupert everett as the baddie and marisa tomei the music is an eclectic mix of traditional and modern featuring such talents as sting dave matthews p diddy and brandy youssou dnour sting baha men nick carter peter gabriel and hugh masekelathe story finds eliza thornberry a twelveyear old with the magical ability to talk to animals on a hunt for migrating elephants with her family who are awardwinning naturalists elizas older sister debbie is a moody pop cultureobsessed valley girl who hates all the wilderness trekking donnie is the bornean wild boy that the thornberrys adopted who is always causing trouble by making messes and stuffing things up his nose or down his pants darwin is elizas best friend a chimpanzee with very human tastes including his obsession with cheese munchies eliza starts out playing with the cubs of a cheetah friend but when one of them is stolen by a poacher eliza must rescue him however her parents send her to a london boarding school where eliza is miserable and doesnt fit in the rest of the movie youll have to see to believethere are some scary chase scenes wounded animals and tense moments that might upset younger viewers but overall the thornberrys movie does an excellent job of bringing the show to the big screen while remaining faithful to the humour excellent ethnic music and magical elements of the original series one of the things that i love the most about the wild thornberrys is that the episodes take viewers all around the world and the shows producers try to avoid ethnic stereotypes with the various characters as well as adding authentic music and traditions this is one cartoon that is witty educational and downright fun for the whole family theres something for everyone with the wild thornberrys movie,False,2003-03-06 01:21:05.000,heating
B00006Z95D,4,,ive used it for a couple days and my first impressions are very good its a bit difficult to figure out just how to get it onto your ear so id recommend you practice a bit before you try it when youre in the car after its in however it feels natural and its so so wonderful to not have to hold anything or dangle anything when youre talking when im at home i can leave the phone on its charger and walk around talking the sound starts to break up when im in the next room but thats over 15 feet away and through a plaster wall overall im impressed with the rangei feel the designer should have paid more attention to the tactile feel of the control buttons when youre trying to reach behind your ear to press the answer button or adjust volume its hard to know which button youre pressing or even whether or not youre pressing a button its something ill get used to im sure dont let that influence your buyinglastly set up on my t68i was a breeze i paired it once and i never have to configure anything again nice job on the setup it comes with a manual but you wont need it,True,2003-05-16 19:23:29.000,portability
B000087KY8,4,,first the bad indoor no flash pictures are poor we took about 60 pictures this weekend for my brothers graduation about half inside with no flash and only 4 of them came out okay even the good ones werent particularly sharp when i reduced them to 800x600 we mostly took pictures of people any movement on the part of the subject or the camera made the picture very blurry guess its using a slow shutter speed to compensate for the low light though im surprised that its as bad as it is though this is the only digital camera that ive used so it might just be that i had high expectationsbesides indoor no flash shots this camera is great its pretty it has some weight to it which makes it feel more solid its smallit easily slips into a jeans or shirt pocket the lithium battery that comes with the battery is greatit lasts forever the camera comes with a charger i used the camera off and on over the weekend 60 pictures and didnt run out of battery outdoor shots are sharp and the colors are good the memory is pretty speedy i transferred over 100 meg worth of pictures in just a few minutes oh and since the battery is so good you dont need to worry about buying one of those special download hookups just plug the usb cable into the camera and start downloadingone thing that i particularly love being the computer geek that i am is that i can mount the camera as a usb drive under linux no special software needed i just mount t vfat devsda1 mntusb and copy the files over no hassling with windowsin summary if you dont mind using the flash for indoor pictures this is a great little camera well worth the money,False,2003-05-19 22:35:13.000,portability
B00005Q5WW,4,,when it comes to movies these speakers are amazing like being in a theatre all by yourself you can hear every word clearly through the centre speaker and the subwoofer can shake the house if youre not carefulhowever it is less than amazing for music as it is deficient in the tweeter category so your treble gets lostmovie buffs and gamers can rejoice music fans wont be ecstatically happy,False,2003-06-06 05:09:53.000,heating
B00005T3FO,5,,if you are wondering how to hook up your new dvdvcr to an older tv which still works fine then an rf modulator is what you really need to allow the connection of a dvd player to your older tv setyou plug your dvdvcr player into the rf modulator and plug the rf modulator into the coaxial inputit is like buying a new tv just less expensivesimple to install and very worthwhile mine is hidden up behind the tv you cant even see it is therethe rebecca review,False,2003-06-28 02:09:41.000,ease of use
B00009W3CR,5,,after purchasing a variety of wireless headphones and not having much success i happened upon this wonderful adjustable headphone that uses rechargeable nickelcadmium batteries includedyou can actually enjoy watching tv use your vcrdvd player or listen to your stereo without disturbing a single soulthe headphones rest on a transmitter that recharges the headphones after you plug them back in they are always ready for use and the batteries must last forever because so far ive not had to worry about the batteries wearing outyou can walk 125 feet away from the transmitter and still hear music unlike other headphones i tried this one only seems to pick up the sounds from the tv or stereo which is a good thing unless you want to hear conversations from who knows where it was very annoying with other brands i have tried in the pastthe headphones have soft earpads which allow for hours of comfortable listening you can even be in bed and lean back on a pillow and they are comfortableall you do is connect this system to your cd tv vcrdvd player or hifi or radiooccasionally while watching a movie i did have to readjust the tuning which is right on the headset there is a volume control and a place where you can plug it back into the charge unitstrangely you can also use this as a speaker if the volume is up high enough that might defeat the purpose but if you tv is close to a wall shared by someone who is trying to sleep this can be helpfullistening freedom even late into the night when you want to watch movies now the only problem is remembering not to laugh too loudly when watching comediesthe rebecca review,False,2003-06-28 02:27:01.000,durability
B000063EJX,4,,i was looking for an inexpensive cd player for the company car that i drive and bought this one on the recommendation of the dealerthe car only has the standard front speakers so it is a bit of overkill given the power of this player but even with the existing speakers it sounds fantasticthe detachable flip down front panel is a feature that got full marks from my more electronically minded coworkersattaching and detaching the panel requires practice as its not that easy to do especially when youre in a hurry its so uncool to have to use both hands to do it so ill continue to work on that aspectthe remote control feature was an added incentive to buy it and it comes in handy except when my son gets his hands on it and keeps repeating the same song over and over from the back seat hes two years old so that shows how simple it is to use the remoteit picks up radio signals from miles away and the increased choice of channels was an unexpected plusmy major problem with it is the lights this thing lights up like a christmas tree which at night can be distracting ive heard that you can dim them but havent had the time to read the manual to find out how until then i just flip down the front panel so they dont showdefinitely no regrets buying it,False,2003-07-19 11:35:23.000,ease of use
B00008RUXM,3,,this vcr seems to work perfectly except that itdoesnt play tapes that have been recorded on ourother panasonic vcr i just dont understand howa tape can play perfectly well on one vcr and notanother perhaps you know better and wont havethis problem,True,2003-07-27 19:14:32.000,storage
B0000C4M1V,1,,i have been using this card with my viewsonic v37pros speed 470mbitss 128bit encryptioncons if the card is inside it will drain your battery occasionally i have to cycle the power of the unit in order for the card to resetinstallation and connection to the network is very easy excellent performance,False,2003-09-06 08:46:56.000,speed
B00006JU62,5,,pros excellent quality exceptional feature listcons not good as your first digital camera it is big and heavyno matter what this camera will give you an excellent picture qualityif you dont mind the sizeit is one of the best cameras on the market,False,2003-09-06 08:58:01.000,Size
B00008LUMV,4,,i have dscf717 which is an excellent quotheavyquot camera i got a dscp32 for everyday use it has excellent pricequality ratiohowever it lacks some important features that you can find in more expensive models like a zoom the camera is very durable and an excellent choice for party pictures it is also an excellent present,False,2003-09-06 09:11:16.000,Price
B000093IRC,5,,very good quality and burn flawlessly at 8x on the nu tech drive paid 30 for 25 dvdrs very good price on amazoncom,True,2004-01-11 23:42:04.000,speed
B0000DF0OO,2,sound is good but design and firmware is very bad,i just bought this player for several days well the sound is good enough to me but the firmware and design is pretty bad button responses very slowly especially when you are playing a song the navigator system is terrible you have to navigate to return to get back to uplevel error tolerance is zero i have a mp3 file which can be played on my pc well i do have a problem to convert this mp3 file to a wav file but this play could not handle this this it stuck there and refused to work any more you have to turn offon the power to make it work again and you must delete that file from the player otherwise you will be stuck there again if you switch to fm mode switch back to mp3 mode and switch to fm mode again theres no sound any more it claims its firmware is upgradable but if theres no firmware at all this feature is nothing they even dont put the original firmware file on their websiteabout the design the joy stick is not very comfortalbe to handle by one hand the screw for belt clip is too short for the hole it can not secure the belt clip to the player firmly actully after i accidently pulled it off from my belt it doesnt work any more guess i have to buy a longer screw for that ridiculously theres a sports symbola girl running right there beside the screw hole how can it be designed specially for sportthese are enough for me ill never buy mpio again,False,2004-02-14 22:11:47.000,Bad Performance
B00005V14C,1,if you buy iomega products 5050 chance youll get a lemon,theres just no inbetween and this drive is no exceptionmy drive will connect and be recognized by the computer but it wont recognize any cds that are put in no matter what brand of cd it doesnt matter what software you install either its simply a hardware defect and if you buy one of iomegas cheap products theres just about a 5050 chance youll get a broken one if youre lucky youll get a unit that actually works finetake it from a network admin who has had to use many many iomega products over the years with about half being unusable dont buy this product unless youre a compulsive gambler and you just have to take every chance,False,2004-02-20 16:19:59.000,Bad Performance
B00005MNSS,4,,i am not a geek at all i just love this monitor it was easy to set up and is bright and easy to read i would recommend it to persons like myself who just needed to replace their old crts and wanted a monitor that took up less space and was easy to see and read the only problem i have is that i bought this monitor in december of 03 and it came with a 5000 rebate that i sent to envision on dec 18 2003 i have yet to get my 50 bucks it is now march 112004 if there is a any kind of rebate promised from this company dont expect it any time soonthankssusan from seaside oregon,True,2004-03-11 23:52:19.000,Late delivery
B00004SB92,2,,as others have reported quality is disappointing thought it was a good router at a decent price until it started breaking down regularly shows red diagnostic lightlinksys website indicates that company knows about the problem and will replace only if within warranty period technically within their rights but seems unethical to me they sold a defective product and arent taking the responsibility for itrecommend you avoid this and be careful about other linksys products,False,2004-04-05 01:52:30.000,Broken
B00005853Z,5,,i have been using computers for 20 year and this track ball for 3 years with the years most people will develop some pain from using the mouse i find this device to be an excellent replacement it will really minimize the movement of the hand and increase the comfortthere is some learning before you will be as fast as you can be with a mouse but it is well worth the efforthighly recommend the device,False,2004-05-14 22:06:37.000,ease of use
B000064189,5,,the is the most accurate gps i have ever testedit is a good overall unit,False,2004-05-14 22:18:54.000,ease of use
B00006IS4Q,5,,an excellent microphone that can be used for recording lectures and conferencespros good stereo sound quality very good directional modecons requires 3v battery it is not good for voice recognition,False,2004-05-14 22:33:01.000,Signal
B0000512VR,4,,i have been using this kvm switch for yearsvery well build no problems under windows 2000 and windows xpi did try variety of usb devices connected to the hub such as scanners hp amp cardscan keyboards microsoft and goldtouch hard drives cameras logitech and a cannon printer i never had any issues the only negative is that the switch can not be controlled from the keyboard,False,2004-05-14 22:44:34.000,durability
B000086TLD,4,,my need for this device was to extend signal strength in my new home i recently moved from california where houses are basically wood framed to a new larger home in florida where houses use blocks for outside and load bearing walls this heavier construction combined with the distance between my wireless router and where i use my computer severely degraded my signal and throughput i purchased this device to rectify that problem which it didinstallation including putting it in wireless range extender mode took mere minutes after unpacking it i was communicating with an incredible 100 signal strength in practically no time after setting it up which was a dramatic difference from the 20 strength before it was installed i did an experiment by walking outside with my laptop and was still connected to my home network with 80 or better signal all the way to the end of my propertyi like the fact that this device seems to interoperate flawlessly with other vendor products one of my systems has an smc wireless card and another uses a linksys my wireless router is an smcinstallation instructions were a bit sparse i am a highly technical user so i didnt need them but a novice may have problems since i have not needed to use technical support i cannot comment on the quality of dlinks supportsince i have not used this device as an access point i also cannot comment on how well it works in that mode however if you are seeking a simple and costeffective solution to extending the range of your existing wireless lan and have some technical skills this may be the solution you are looking for even though i am pleased with this product i rated it at four stars because i have not used all of the features or dlinks technical support and do not think the documentation is novicefriendly,False,2004-06-01 17:59:13.000,ease of use
B000095SB6,4,,everybody has an opinion and theyre all different i finally settled on a pair of mdrex51lp buds for my ipod the buds that come with the ipod are poor sounding and uncomfortable no matter how trendy it may be to have a white wires dangling from your ears i tried several different types and brands and settled on these they have a more balanced sound than the other headphones in the sub 50 bracket that i tested good bass clean highs and mids do they compare with premium studio cans no but neither do the price tag size or weight they block office noise at a reasonable spl and allow me to concentrate on my work without distraction i can still hear some outside sound if i keep the music volume low enough as has been mentioned before that can be a good thing theyre very comfortable i wear them for hours at a time on a daily basis i dont get the uneven cord length but it really isnt a big deal headphones are like operating systems there is no such thing as one size fits all get the ones that work for you and your audio device and dont start a holy war with someone who prefers something different,False,2004-06-03 02:25:18.000,Size
B00007KDVI,3,,installation is easy and performance is solid there are some nice features such as the ability to use this router as an access point that can bridge systems operating under the older 80211b standard 11 mbps as well as the blazingly fast 80211g standardit also comes with the usual features dhcp server nat and firewall i also like the fact that the wired ports are based on switching instead of shared as a hubhowever there is one major aspect of this router that you need to consider before purchasing there is a firmware flaw as of firmware version 2027 that exposes the remote administration feature to hackers who will attempt to exploit ports 80 and 443 worse turning off the remote administration feature does not close the vulnerability of ports 80 and 443 this vulnerability was reported widely by jason meserve in the 6304 nw virus and bug patch alert and a workaround was provided by alan w rateliff in a 43104 port to the security focus bugtrack list the workaround is to set the port forwarding to send ports 80 and 443 to nonexistent hosts rateliff further noted that forwarding the ports to any hosts including listening ones if you are actually running servers will override the default behavior he also recommended immediately changing the default admin and password before connecting this router on a live networkthere is another issue with linksys in general and that is the quality of their technical support which i consider to be poortomediocre depending on how lucky you are when dealing with themoverall this router has a lot of excellent features and performs very well the downside is the security issue cited above and my opinion that they have less than great technical support therefore if you are a highly technical user and can perform the workaround described above and can solve most common problems without needing linksys tech support youll probably like it however if you are a non or quasitechnical user who wants something that works out of the box and does not expose your network to security problems you may want to look elsewhere,False,2004-06-03 19:35:00.000,ease of use
B0001WPS9A,5,,i purchased this dvd rom device to perform a specific primary task as a backup device for my laptops i have three with some secondary needs such as transferring some of my older vhs tapes to dvd it meets all of these needs perfectlysetup is easy and the software that ships with it is perhaps not worldclass but does the jobinstallation and user documentation are clear and easy to follow however i have not needed to use the manufacturers technical support so i cannot comment on the quality of thatnote i purchased this device based more on price than features so if you are looking for a full featured dvd rom or one with more sophisticated software you may want to shop around and compare others on the market if your needs are relatively simple such as mine are and want to burn data music and video at an affordable price this model is a solid buy,False,2004-06-05 15:54:57.000,ease of use
B0001FV3C8,5,,i was using an older 128 mb flash drive as the file system for email on two older laptop computers this allowed me to keep my mail synchronized on my primary home system and the one i take on travel the problem was that i outgrew the 128 mb and since both of my systems were older circa 2001 laptops that used usb 11 and ran under windows 98 se none of the gigabyte flash drives would work with it all of the others required either usb 20 andor windows me or 2000this drive however is backwards compatible with the older usb 11 interface and a windows 98 se driver is available for download from the manufacturers sitedownload and installation of the new driver went perfectly it was literally done in a few mouse clicks i plugged the drive into each machine and it was immediately recognized by both my sony and ibm laptops i also tried this on a windows 2000 system and it was immediately recognized and assigned as a disk drive without driversnot only does this device work as advertised with no problems but it also leaves room for a second usb device on laptops that have adjacent ports my sony is configured like this my old flash drive required me to use an usb extension cable in order to have room to plug in my mouse so the form factor is yet another feature i like about this particular modelone final feaure i very much like you can encrypt files on this device and since i am using it as an email file system the privacy and protection this affords me is importanthighly recommended if you want a highcapacity flash drive that will work on older windows 98 se systems or just a reliable and easytoinstall flash drive for any system it will not work on windows 95 and below systems none of the flash drives of which i am aware will,False,2004-06-23 18:15:20.000,storage
B00003006K,2,works well while it lasts but dont count on long life,ive had two linksys products die on me shortly after a year a 4port routerswitch and now this 8port switch it works fine until it dies but thats like saying a stapler staples correctly its supposed tojust to note i run them in a very friendly environment no dust or heat or voltage spikes or any of that to blame for the problem also you can count me as an expert useri myself will never buy another linksys product again ill try out netgear dlink and other brands but goodbye ciscolinksys if you chooose to try their products caveat emptor,False,2004-08-30 23:21:35.000,Bad Performance
B0001WV6ZU,5,,i picked up this little beauty to replace both an ancient and cranky 5disc cd player and a single disc dvd player i now have breathing room in the old entertainment center so even my antique turntable can take a creaky spin every now and againseeing that i cant connect a toaster without help i called on my trusty better half to unravel the mystery of setting it up in nontechnical language aka plain english this is what you need to know about this mighty machine1 the manual needs a lot of work its neither userfriendly nor idiotproof ditto for the boxy silver remote2 it is easy to set up if you already know how to do that sort of thing we have component video connections to the tv and digital coaxial connections to the receiver3 it gives excellent sound from both cds and dvds with the benefit of 51 surround movies like master and commander can literally move you and cds have never sounded better4 it is as convenient as a 5disc cd changer as it is a 5disc dvd player except that when youre playing more than one cd youll need to put it in cd mode first5 it can easily play different types of media such as audio cds mp3s dvds and those other mysterious formats just put in the discs and play away6 the video quality is very good on a regular tv you can set up different predefined picture quality modes or customize to suit your own taste if youre a techie or a buff if you have difficulty making up your mind ignore this option7 the player is chock full of options but you have to explore for yourself which can be a bit confusing until you get the hang of it read the manual you say see item 1 above8 theres onscreen information for mp3s and photo cds with different views available for the contents groupsfolders or entire playlists9 i cant comment on the progressive scan feature since i dont have an hd or hdready tv yet still waiting for that lottery win10 it is supposed to play dvdaudio discs but you need 61 channel inputs on your receiver to play them unfortunately our receiver is lacking these inputs but then again i am also lacking any dvdaudio discselectronics buffs will probably say that it needs a bit of tweaking to get it to look and sound just right but it looks and sounds great to me all in all a very good player perhaps excellent when you factor in the priceamanda richards october 1 2004,True,2004-10-02 03:40:12.000,ease of use
B0002I7288,5,,strengthsgreat little unit for the high tech home load balanced internet connection options are great decent firewall good pnpweaknessesmake sure that you upgrade to firmware version 1374 the vpn for earlier versions is a little complicated to connect to from xp2000 clienti am using the rv042 and a rv082 to connect an office in the us with an office in east europe the vpn is working perfectly excellent performance very reliable,False,2004-10-14 19:33:14.000,durability
B0000ZI1FG,4,,good small business routerstrengthsload balanced internet connection options are great decent firewallweaknessesvpn is a little complicated to connect to from xp2000 client have to play with the ipsec settingsi am using the rv042 and a rv082 to connect an office in the us with an office in east europe the vpn is working perfectly excellent performance very reliable,False,2004-10-14 19:35:51.000,durability
B000067OHN,5,,it performs very well be careful with the driver installation you have to install the adaptec driver otherwise the system will recognize the adapter as a storage devicedo not use this for storage devices,False,2004-10-14 19:45:41.000,storage
